Country,Status of Data Protection Law,Legal Framework Details,Consent Exemption Instructions (Inferred Score),Source
Burundi,No specific Law,Law on Prevention and Repression of Cybercriminality (2022) and sector-specific laws.,2,1
Cuba,No specific Law,Constitution (Art. 97) and various Decree-Laws on ICT and Telecommunications.,2,1
El Salvador,No specific Law,Vetoed Personal Data Protection Act; confidentiality disseminated in other Acts.,2,1
Fiji,No specific Law,"Constitution (2013) Art. 24 and sector-specific laws (Banking, Health).",2,1
Guatemala,No specific Law,Law on Access to Public Information (Decree 57-2008).,2,1
Iran,No specific Law,"Disseminated in ECL 2004, Cyber Crime Act 2011, and Sharia principles.",2,1
Kuwait,No specific Law,"E-Commerce Law, Cybercrime Law, and CITRA Data Protection Regulation.",2,1
Libya,No specific Law,"Constitution 2011 (Art. 12, 13), Penal Code (1953), and Cybercrime Law No. 5/2022.",2,1
Mozambique,No specific Law,"Constitution (CRM), Civil Code, Penal Code, and Electronic Transactions Law.",2,1
Myanmar,No specific Law,"Disseminated in Telecommunications Law (2013), Financial Institutions Law (2016).",2,1
Namibia,No specific Law,Constitution Art. 13; Draft Data Protection Bill 2021 pending.,2,1
