Country,Data Protection Law,Provision Summary,Requirement Compliance Score,Source
France,EU GDPR and Law No. 78-17,French law clarifies procedural rules and specifies data subject rights under the GDPR framework.,6,1
Georgia,Law of Georgia on Personal Data Protection (2024),Mirrors the GDPR framework; the Civil Code grants individuals the right to access and correct private matters.,6,1
Germany,EU GDPR and Federal Data Protection Act (BDSG),"Adjusted to align with GDPR through the BDSG, maintaining core accuracy requirements.",6,1
Ghana,"Data Protection Act, 2012 (Act 843)",The primary legislation governing data protection; includes principles of accuracy and transparency.,6,1
Gibraltar,Gibraltar GDPR and Data Protection Act 2004,All material GDPR obligations on accuracy remain the same under the Gibraltar GDPR.,6,1
Greece,EU GDPR and Law 4624/2019,Implements Regulation 2016/679 including its core data quality principles.,6,1
Guernsey,"Data Protection (Bailiwick of Guernsey) Law, 2017",Law is stated to be 'equivalent' to the GDPR including principles of accuracy.,6,1
Honduras,Constitution / Law for Transparency,Article 182 provides constitutional protection of habeas data to rectify inaccurate or misleading data.,6,1
"Hong Kong, SAR",Personal Data (Privacy) Ordinance (Cap. 486),"Regulates the collection and handling of personal data, including the right to request correction.",6,1
Hungary,EU GDPR and Act CXII of 2011,Amended to comply with the provisions of the GDPR regarding data subject rights and principles.,6,1
Iceland,Act No. 90/2018 on Data Protection,Implements the GDPR in Iceland including the principles for processing personal data.,6,1
India,"Digital Personal Data Protection Act, 2023 (DPDP Act)",Principle requires reasonable efforts to ensure personal data is accurate and kept up to date.,6,1
Indonesia,Law No. 27 of 2022 concerning Personal Data Protection (PDP Law),"Closely aligned with the GDPR, establishing comprehensive standards for data protection.",6,1
Ireland,EU GDPR and Data Protection Act 2018,Gives further effect to the GDPR including the core data protection principles.,6,1
Israel,Protection of Privacy Law (PPL),Regulates privacy; Amendment No. 13 (2024) updates the framework.,6,1
Italy,EU GDPR and Privacy Code (Decree 101/2018),"Harmonized with the GDPR, regulating data subject rights and accuracy.",6,1
Japan,Act on the Protection of Personal Information (APPI),Regulates privacy protection and defines the duties of personal information controllers.,6,1
Jordan,Personal Data Protection Law No. (24) of 2023,Main law governing the protection of personal data in the country.,6,1
Kazakhstan,Law No. 94-V 'On Personal Data and Its Protection',Main legal act regulating personal data and its protection in the Republic.,6,1
Kenya,"Data Protection Act, 2019",Primary statute giving effect to the right to privacy and regulating data processing.,6,1
Kosovo,Law on Protection of Personal Data No. 06/L-082,"Transposes the GDPR, covering processing principles and subject rights.",6,1
Kyrgyzstan,Law on Personal Data No. 58,Regulates personal data work based on standard international norms to assure human rights in data processing.,6,1
Latvia,EU GDPR and Personal Data Processing Law (2018),Replaced older laws to provide prerequisites for GDPR implementation.,6,1
Lesotho,"Data Protection Act, 2013",Provides principles for regulation of processing to protect information privacy.,6,1
Lithuania,EU GDPR and Law on Legal Protection of Personal Data,Current law has been in force since July 2018 to implement the GDPR.,6,1
Luxembourg,"EU GDPR and Law of August 1, 2018",Law completes the GDPR at the national level and provides the CNPD framework.,6,1
Malaysia,Personal Data Protection Act 2010 (PDPA),Regulates processing; includes the Data Protection Principles that organizations must follow.,6,1
Malta,EU GDPR and Data Protection Act 2018,Repealed previous acts to align with the GDPR principles including data subject rights.,6,1
Mexico,Federal Law for the Protection of Personal Data (2025),Applies to personal data processing by private entities and establishes core principles.,6,1
Moldova,Law No. 133 on Personal Data Protection,Harmonized with Directive 95/46/EC; New Law 195 (effective 2026) incorporates GDPR.,6,1
Monaco,Data Protection Law n° 1.565 (2024),Updated law offers a strong level of protection similar to GDPR.,6,1
Mongolia,Law of Mongolia on Personal Data Protection (2021),"Regulates the collecting, processing, and security of personal data; AI policies require accuracy.",6,1
Montenegro,Law on Protection of Personal Data,The governing law since 2008; a new law is expected to fully harmonize with GDPR.,6,1
Netherlands,EU GDPR and Dutch GDPR Implementation Act,Constitutes the local implementation of the GDPR principles in the Netherlands.,6,1
New Zealand,Privacy Act 2020,IPPs govern how agencies collect and use data; Guidance on AI tool use highlights accuracy.,6,1
Nigeria,Nigeria Data Protection Act 2023 (NDPA),Enacted to safeguard fundamental rights and the interest of data subjects including privacy.,6,1
North Macedonia,Law on Personal Data Protection (DP Law),Largely harmonized with the EU GDPR.,6,1
Norway,EU GDPR and Norwegian Personal Data Act (PDA),The PDA implements the GDPR and updated several sector-specific regulations for compliance.,6,1
Panama,"Law No. 81 of March 26, 2019","Regulates principles, rights, and obligations including access and rectification.",6,1
Paraguay,Constitution / Law No. 6534/2020,Article 135 of the Constitution provides habeas data to rectify inaccurate data; Law 7593/25 establishes a stricter framework.,6,1
Peru,Personal Data Protection Law No. 29733 (PDPL),New Regulation (2024) seeks to strengthen protection including for digital technologies.,6,1
Philippines,Data Privacy Act of 2012 (DPA),The governing law on data privacy matters; amendments proposed to redefine sensitive info.,6,1
Poland,EU GDPR and Personal Data Protection Act of 10 May 2018,Fully incorporated the GDPR within the Polish legal framework including subject rights.,6,1
Portugal,EU GDPR and Law no 58/2019,Governs processing ensuring the execution of the GDPR in Portugal.,6,1
Qatar,Law No. (13) of 2016 Concerning Personal Data Protection,First GCC member to issue a general data protection law; supplemented by regulatory guidelines.,6,1
Romania,EU GDPR and Law no. 190/2018,Regulates activities and measures for the application of the GDPR.,6,1
Russia,Federal law No. 152 FZ 'On Personal Data' (DPA),The most comprehensive source for data protection rules in Russia.,6,1
Rwanda,Law n°058/2021 relating to the protection of personal data and privacy,Governing law enacted in 2021 with a transition period for compliance.,6,1
Saudi Arabia,Personal Data Protection Law (PDPL),A national law applying to all sectors; Implementing Regulations provide further detail.,6,1
Serbia,Data Protection Law (2018),Largely harmonized with the GDPR; fully effective since 2019.,6,1
Seychelles,"Data Protection Act, 2023","Protects personal data, regulates processing, and confers rights on individuals.",6,1
Singapore,Personal Data Protection Act 2012 (PDPA),Consists of various guidelines indicating how the Commission will interpret data protection obligations.,6,1
Slovak Republic,EU GDPR and Act No. 18/2018 Coll.,The Slovak Data Protection Act implements the GDPR.,6,1
Slovenia,EU GDPR and Data Protection Act (ZVOP-2),ZVOP-2 implements aspects of the GDPR including processing principles and subject rights.,6,1
South Africa,Protection of Personal Information Act (POPIA),Specifically regulates processing of personal information entered into a record.,6,1
South Korea,Personal Information Protection Act (PIPA),Main law for handling data; 2026 amendments significantly enhance the protection regime and accountability.,6,1
Spain,EU GDPR and Fundamental Law on Data Protection (NLOPD),Refines the GDPR requirements in Spain since December 2018.,6,1
Sri Lanka,Personal Data Act No. 9 of 2022 (PDPA),Inspired by the GDPR; shares similarities regarding processing and rights.,6,1
Sweden,EU GDPR and Data Protection Act (2018:218),"Regulates general aspects where the GDPR allows, such as ID numbers and criminal data.",6,1
Switzerland,Federal Act on Data Protection (FADP),Revised in 2020 to align with GDPR requirements including accuracy and subject rights.,6,1
Taiwan,Taiwan Personal Data Protection Act (PDPA),Governs personal data protection with most recent amendments in 2025.,6,1
Tanzania,"Personal Data Protection Act, 2022 (PDPA)",Section 5 provides that data must be accurate and kept up to date.,6,1
Thailand,Personal Data Protection Act (PDPA),Key principles influenced by GDPR; prescribes duties for data controllers regarding accuracy.,6,1
Tunisia,Organic Law No. 2004-63,Affirms individual right to protection of personal data as a fundamental right guaranteed by the Constitution.,6,1
Turkey,Law on the Protection of Personal Data (LPPD),Primarily based on EU Directive 95/46/EC; regulates the rights and obligations of data controllers.,6,1
Ukraine,Law of Ukraine No. 2297-VI On Personal Data Protection,Essentially complies with EU Data Protection Directive 95/46/EC; new draft (2024) aims to harmonize with GDPR.,6,1
United Kingdom,UK GDPR and Data Protection Act 2018,Governed by the transposed GDPR; all material accuracy principles from the original Regulation remain.,6,1
Vietnam,Law No. 91/2025/QH15 on Personal Data Protection (PDPL),Article 514 prescribes principles including ensuring the accuracy of personal data.,6,1
Kuwait,Electronic Transactions Law / Data Privacy Regulation,"No dedicated general law, but sector regulations (CITRA) and E-Commerce Law protect electronic records.",4,1
United States,"Varies by State (e.g., CCPA/CPRA)",Patchwork of laws; comprehensive state laws (like California) provide for rights of rectification/correction.,4,1
Bolivia,Political Constitution of the Plurinational State of Bolivia,Article 130 allows individuals to obtain the rectification of data registered in public or private files.,2,1
Burundi,No specific law,"No specific law exists, but some sector-specific laws (health, banking) impose confidentiality and professional secrecy.",2,1
Cambodia,E-Commerce Law / Constitution,Privacy is protected in broad terms under the Constitution and Civil Code; specific comprehensive law is currently in draft.,2,1
El Salvador,No specific law,The specific Act was vetoed; data protection remains disseminated in various other Acts regarding confidentiality.,2,1
Fiji,Constitution (2013),Clause 24 provides the right to personal privacy and confidentiality of personal information.,2,1
Guatemala,Law on Access to Public Information,"No specific personal data law, but the Law on Access to Public Information addresses some matters for public records.",2,1
Libya,Constitution / Penal Code,No specific law; Constitution 2011 guarantees private life and Penal Code protects against interference.,2,1
Mozambique,Constitution / Various Sectoral Laws,"No specific law, but the Constitution and various laws (Labour, Penal, Electronic Transactions) impose privacy obligations.",2,1
Namibia,Constitution / Draft Data Protection Bill,Right to privacy is a fundamental human right; a comprehensive Data Protection Bill is currently in draft form.,2,1
Venezuela,Constitution / Supreme Court Principles,"No specific law, but Supreme Court Decision 1318 (2011) established the 'Principle of accuracy and self-determination' for data.",2,1
