Country,Status of Data Protection Law,Legal Framework Details,Data Protection Score (Inferred),Source
Gabon,Active Law,Act no. 025/2023 amending Act no. 001/2011 on personal data protection.,6,1
Georgia,Active Law,Law of Georgia on Personal Data Protection (2024).,6,1
Germany,Active Law,EU GDPR and Federal Data Protection Act (BDSG) (2018).,6,1
Ghana,Active Law,"Data Protection Act, 2012 (Act 843).",6,1
Gibraltar,Active Law,Gibraltar GDPR and Data Protection Act 2004.,6,1
Greece,Active Law,EU GDPR and Greek Law 4624/2019.,6,1
Guernsey,Active Law,"Data Protection (Bailiwick of Guernsey) Law, 2017.",6,1
Guinea,Active Law,Law n° L/2016/037/AN on Cybersecurity and Personal Data Protection.,6,1
Haiti,Active Law,Arrêté fixant les règles relatives à la protection des données (2018).,6,1
"Hong Kong, SAR",Active Law,Personal Data (Privacy) Ordinance (Cap. 486).,6,1
Hungary,Active Law,EU GDPR and Act CXII of 2011 as amended.,6,1
Iceland,Active Law,Act No. 90/2018 on Data Protection and Processing of Personal Data (incorporates GDPR).,6,1
India,Active Law,"Digital Personal Data Protection Act, 2023 (DPDP Act).",6,1
Indonesia,Active Law,Law No. 27 of 2022 concerning Personal Data Protection (PDP Law).,6,1
Ireland,Active Law,EU GDPR and Data Protection Act 2018.,6,1
Israel,Active Law,"Protection of Privacy Law, 5741-1981 (as amended 2024).",6,1
Italy,Active Law,EU GDPR and Legislative Decree 101/2018 (Privacy Code).,6,1
Japan,Active Law,Act on the Protection of Personal Information (APPI).,6,1
Jersey,Active Law,"Data Protection (Jersey) Law, 2018.",6,1
Jordan,Active Law,Personal Data Protection Law No. (24) of 2023.,6,1
Kazakhstan,Active Law,Law No. 94-V 'On Personal Data and Its Protection' (2013).,6,1
Kenya,Active Law,"Data Protection Act, 2019.",6,1
Kosovo,Active Law,Law on Protection of Personal Data No.06/L-082 (2019).,6,1
Kyrgyzstan,Active Law,"Law on Personal Data No.58 (2008, as amended 2021).",6,1
Laos,Active Law,Law on Electronic Data Protection (2017) and Law on Cyber Crime.,6,1
Latvia,Active Law,EU GDPR and Personal Data Processing Law (2018).,6,1
Lebanon,Active Law,Law No. 81/2018 relating to Electronic Transactions and Personal Data Law.,6,1
Lesotho,Active Law,"Data Protection Act, 2013.",6,1
Liberia,Active Law,Data Privacy Protection Laws.,6,1
Lithuania,Active Law,EU GDPR and Law on Legal Protection of Personal Data (2018).,6,1
Luxembourg,Active Law,"EU GDPR and Law of August 1, 2018 on CNPD organization.",6,1
Macau SAR,Active Law,Macau Personal Data Protection Law no. 8/2005.,6,1
Madagascar,Active Law,Law No. 2014-038 relating to protection of personal data.,6,1
Malaysia,Active Law,Personal Data Protection Act 2010 (PDPA) as amended 2024.,6,1
Malta,Active Law,EU GDPR and Data Protection Act 2018 (Cap 586).,6,1
Mauritius,Active Law,Data Protection Act 2017.,6,1
Mexico,Active Law,Federal Law for Protection of Personal Data in Possession of Private Parties (2025).,6,1
Moldova,Active Law,Law No. 133 on Personal Data Protection (2011); New Law 195 (effective Aug 2026).,6,1
Monaco,Active Law,Data Protection Law n° 1.565 (2024).,6,1
Mongolia,Active Law,Law of Mongolia on Personal Data Protection (2021/2022).,6,1
Montenegro,Active Law,"Law on Protection of Personal Data (2008, as amended 2024).",6,1
Morocco,Active Law,Law No 09-08 (2009).,6,1
Nepal,Active Law,"Individual Privacy Act, 2018 (2075).",6,1
Netherlands,Active Law,EU GDPR and Dutch GDPR Implementation Act (Uitvoeringswet AVG).,6,1
New Zealand,Active Law,Privacy Act 2020.,6,1
Nicaragua,Active Law,Law No. 787 Personal Data Protection Law (2012).,6,1
Niger,Active Law,Law n° 2022-59 as amended by law n° 2023-31 (2023).,6,1
Nigeria,Active Law,Nigeria Data Protection Act 2023 (NDPA).,6,1
North Macedonia,Active Law,Law on Personal Data Protection (DP Law) (2020).,6,1
Norway,Active Law,EU GDPR and Norwegian Personal Data Act (PDA) (2018).,6,1
Panama,Active Law,"Law No. 81 of March 26, 2019.",6,1
Paraguay,Active Law,Personal Credit Data Protection Law (2020); New Personal Data Protection Law 7593/25.,6,1
Peru,Active Law,Personal Data Protection Law No. 29733 (2011).,6,1
Philippines,Active Law,Data Privacy Act of 2012 (RA 10173).,6,1
Poland,Active Law,EU GDPR and Personal Data Protection Act of 10 May 2018.,6,1
Portugal,Active Law,EU GDPR and Law no 58/2019.,6,1
Qatar,Active Law,Law No. (13) of 2016 Concerning Personal Data Protection.,6,1
Republic of Congo,Active Law,Law N° 29 - 2019 of 10 October 2019.,6,1
Romania,Active Law,EU GDPR and Law no. 190/2018.,6,1
Russia,Active Law,Federal law No. 152 FZ 'On Personal Data' (2006).,6,1
Rwanda,Active Law,Law n°058/2021 relating to protection of personal data.,6,1
Saudi Arabia,Active Law,Personal Data Protection Law (PDPL) (2021/2023).,6,1
Senegal,Active Law,Act No. 2008-12 Concerning Personal Data Protection.,6,1
Serbia,Active Law,Data Protection Law (2018) (aligned with GDPR).,6,1
Seychelles,Active Law,"Data Protection Act, 2023.",6,1
Singapore,Active Law,Personal Data Protection Act 2012 (PDPA).,6,1
Sint Maarten,Active Law,"National ordinance personal data protection (National Gazette 2010, No. 2).",6,1
Slovak Republic,Active Law,EU GDPR and Act No. 18/2018 Coll. on protection of personal data.,6,1
Slovenia,Active Law,EU GDPR and Data Protection Act (ZVOP-2) (2022/2023).,6,1
South Africa,Active Law,Protection of Personal Information Act 4 of 2013 (POPIA).,6,1
South Korea,Active Law,Personal Information Protection Act (PIPA) (as amended 2026).,6,1
Spain,Active Law,EU GDPR and Fundamental Law on Data Protection (2018) (NLOPD).,6,1
Sri Lanka,Active Law,Personal Data Act No. 9 of 2022 (PDPA).,6,1
Sweden,Active Law,EU GDPR and Data Protection Act (2018:218).,6,1
Switzerland,Active Law,Federal Act on Data Protection (FADP) (2020/2023).,6,1
Taiwan,Active Law,Taiwan Personal Data Protection Act (PDPA) (as amended 2025).,6,1
Tajikistan,Active Law,"Personal Data Protection Law, No.1537 (2018).",6,1
Tanzania,Active Law,"Personal Data Protection Act, 2022 (PDPA).",6,1
Thailand,Active Law,Personal Data Protection Act (PDPA) (2019/2022).,6,1
Trinidad and Tobago,Active Law,"Data Protection Act, 2011 (DPA) (partially enacted).",6,1
Tunisia,Active Law,Organic Law No. 2004-63 and Organic Law n°2015-26.,6,1
Turkey,Active Law,Law on Protection of Personal Data No. 6698 (2016) (LPPD).,6,1
