"","entityIso","entityName.x","dataYear","Active mobile-broadband subscriptions per 100 people","Data and voice mobile-broadband subscriptions per 100 people","Fixed-broadband subscriptions per 100 people","At least 3G %","At least LTE/WiMAX %","Active mobile-broadband subscriptions count","At least 2G %","256 kbit/s to less than 2 Mbit/s count","256 kbit/s to less than 2 Mbit/s % fixed broadband subscriptions","256 kbit/s to less than 2 Mbit/s per 100 people","2 Mbit/s to less than 10 Mbit/s count","2 Mbit/s to less than 10 Mbit/s per 100 people","Fixed-broadband subscriptions count","Equal to or above 10 Mbit/s count","Equal to or above 10 Mbit/s per 100 people","Satellite broadband count","Terrestrial fixed wireless count","Fibre-to-the-home/building count","Other fixed broadband count","Households with Internet access at home %","DSL  count","Data and voice mobile-broadband subscriptions count","Data-only mobile-broadband subscriptions count","Active subscriptions to LTE/WiMAX mobile-broadband networks count","Cable modem count","10 Mbit/s to less than 30 Mbit/s count","30 Mbit/s to less than 100 Mbit/s count","Equal to or above 100 Mbit/s count","Equal to or above 10 Mbit/s % fixed broadband subscriptions","2 Mbit/s to less than 10 Mbit/s % fixed broadband subscriptions","At least 5G %","entityName.y","Female %","Male %","Individuals using the Internet %","entityName","Full-time equivalent telecommunication employees  per 1000 main lines","Annual foreign investment in telecommunications LCU","Full-time equivalent telecommunication employees  count","Full-time equivalent telecommunication employees  female","Revenue from all telecommunication services USD","Annual investment in telecommunication services USD","Revenue from all telecommunication services per employee","Annual investment in telecommunication services As % of revenues","Individuals with basic ICT skills in safety","Individuals with above basic ICT skills in safety","Individuals with basic ICT skills in information and data literacy","Individuals with above basic ICT skills in information and data literacy","Individuals with basic ICT skills in digital content creation","Individuals with above basic ICT skills in digital content creation","Individuals with basic skills in communication and collaboration","Individuals with above basic ICT skills in communication and collaboration","Individuals with basic ICT skills in problem solving","Individuals with above basic ICT skills in problem solving"
"11","BHR","Bahrain",2018,135.785,104.43,8.43442,100,100,2033560,100,733,0.580291,0.0489441,9669,0.645622,126316,115914,7.73985,379,18877,84968,NA,98.6435,22471,1563980,469580,1830200,NA,103346,9346,3154,91.7651,7.65461,NA,"Bahrain",98.5075,98.7155,98.6447,"Bahrain",10.3009,NA,2830,852,1146280000,91038100,405045,7.94207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","BGD","Bangladesh",2018,40.7331,39.2953,4.92462,95.23,79,66608000,99.6,1916110,23.7941,1.17177,NA,NA,8052890,NA,NA,NA,82417,6145270,1816830,35.8373,7422,64256900,2351080,19130800,950,NA,NA,NA,NA,NA,NA,"Bangladesh",NA,NA,25.6,"Bangladesh",400.534,51432800000,580632,201420,3789710000,1409460000,6526.87,37.1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ARM","Armenia",2018,73.9795,67.443,11.9399,100,99.1,2152780,100,4469,1.28624,0.153576,176290,6.05815,347448,166689,5.72821,0,26394,190483,25878,67.5842,104693,1962570,190211,651263,0,77157,89457,75,47.9752,50.7385,NA,"Armenia",66.9034,69.8878,68.2451,"Armenia",12.1942,5689620000,5828,2810,261928000,75317700,44943.1,28.7551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","BRB","Barbados",2018,61.2028,46.2579,31.8263,99.6,99.6,171803,100,0,0,0,8580,3.05652,89340,80760,28.7698,0,0,80080,0,84.6128,12209,129851,0,52757,0,12140,55266,16334,90.3962,9.60376,NA,"Barbados",NA,NA,72.4,"Barbados",4.10799,17103000,526,248,232709000,30869500,442412,13.2653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","BEL","Belgium",2018,76.0947,72.4128,39.4007,100,100,8696570,100,5052,0.112193,0.0442049,140982,1.23359,4502950,4356920,38.1229,NA,0,32464,4467,80.9513,2126180,8275780,420792,6866330,2339840,312147,1584090,2460680,96.7569,3.13088,NA,"Belgium",87.2592,90.0436,88.6473,"Belgium",4.29963,NA,17658,NA,7225710000,2048560000,409203,28.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","BTN","Bhutan",2018,100.923,91.6887,1.42177,90,60,766768,98,10495,97.1579,1.38136,247,0.0325103,10802,60,0.00789724,0,30,200,0,53.6,10572,696613,70155,157874,0,39,19,2,0.555453,2.28661,NA,"Bhutan",NA,NA,63.5,"Bhutan",43.8337,0,965,309,74280100,22346500,76974.1,30.0842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","BOL","Bolivia (Plurinational State of)",2018,78.789,78.2054,4.38026,82.87,NA,9067330,100,269311,53.4244,2.34013,193728,1.68337,504097,41058,0.356766,NA,NA,306248,NA,16.2142,120616,9000170,67164,NA,63676,NA,NA,NA,8.14486,38.4307,NA,"Bolivia (Plurinational State of)",41.6667,47.0067,44.2861,"Bolivia (Plurinational State of)",10.8601,NA,7732,NA,1865770000,542923000,241305,29.0991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","BIH","Bosnia and Herzegovina",2018,54.3492,52.8488,21.1505,95,0,1840810,100,30381,4.24099,0.896988,346260,10.2232,716366,339725,10.0303,NA,47367,17511,934,69.1942,404795,1789990,50819,NA,244728,NA,NA,NA,47.4234,48.3356,NA,"Bosnia and Herzegovina",68.3368,72.4001,70.1201,"Bosnia and Herzegovina",10.5291,NA,7800,2760,724207000,103870000,92847,14.3426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","BWA","Botswana",2018,76.0745,29.2233,1.74169,95,65,1749060,97,23384,58.3958,1.01708,8731,0.379751,40044,474,0.0206164,346,3344,251,NA,59.2016,28962,671886,131278,NA,NA,155,NA,NA,1.1837,21.8035,NA,"Botswana",NA,NA,54.2022,"Botswana",12.8368,NA,1829,745,183762000,40651100,100471,22.1216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","BRA","Brazil",2018,89.5507,88.4041,15.1538,95.52,83.05,184571000,95.83,5113030,16.3706,2.48076,9871280,4.78939,31233000,16248700,7.88361,189524,2681080,5822330,0,66.663,13043700,182207000,2363240,129865000,9496400,8113170,8135520,NA,52.0241,31.6053,NA,"Brazil",70.0151,70.8905,70.4343,"Brazil",NA,1565420000,NA,NA,3.0153e+10,7351660000,NA,24.3812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","BLZ","Belize",2018,43.3242,NA,6.48509,93,68,164730,93,4417,17.9131,1.16168,15866,4.17278,24658,3268,0.859489,NA,NA,NA,NA,41.9443,NA,NA,NA,NA,NA,NA,NA,NA,13.2533,64.3442,NA,"Belize",NA,NA,53.5936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","SLB","Solomon Islands",2018,16.1118,NA,0.209843,45,20,114249,95,NA,NA,NA,NA,NA,1488,NA,NA,NA,NA,NA,NA,40.1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solomon Islands",NA,NA,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","VGB","British Virgin Islands",2018,18.2907,NA,13.6048,100,99,6339,100,0,0,0,0,0,4715,4715,13.6048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,NA,"British Virgin Islands",10.8557,NA,68,33,37328700,12051000,548952,32.2834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","BRN","Brunei Darussalam",2018,127.381,110.984,11.2953,95.94,94.94,557685,99.06,NA,NA,NA,NA,NA,49452,17700,4.04285,NA,NA,43394,NA,53.5888,6058,485898,71787,NA,NA,26125,5612,NA,35.7923,NA,NA,"Brunei Darussalam",NA,NA,95,"Brunei Darussalam",NA,NA,NA,NA,258726000,67461400,NA,26.0745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","BGR","Bulgaria",2018,101.396,85.4467,27.1034,99.99,99.71,7122840,99.99,1062,0.0557789,0.015118,41955,0.597246,1903950,1860930,26.4911,224,159003,952762,337101,72.1327,153948,6002410,1119290,3652760,300908,488467,1030020,342444,97.7406,2.20358,NA,"Bulgaria",63.4094,66.1918,64.782,"Bulgaria",17.185,NA,19253.9,8462.44,1346330000,264369000,69925.1,19.6363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","MMR","Myanmar",2018,95.2353,94.0996,0.246881,94.15,75,49781600,95.15,25894,20.0651,0.0495368,42173,0.0806795,129050,60983,0.116664,2456,80779,25944,2355,NA,17516,49188000,593645,14003600,NA,1220,118,59645,47.2553,32.6796,NA,"Myanmar",NA,NA,29.379,"Myanmar",17.9452,NA,9347,4013,981673000,NA,105026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","BDI","Burundi",2018,10.7848,0,0.0331803,44.48,20.93,1279020,95.4,3143,79.8729,0.0265021,674,0.00568323,3935,88,0.000742025,48,0,277,0,3.46151,44,0,1279020,28847,0,0,0,0,2.23634,17.1283,NA,"Burundi",NA,NA,4,"Burundi",56.187,0,1394,271,98501100,NA,70660.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","BLR","Belarus",2018,86.0863,NA,33.7712,99.9,75.7,8161010,99.9,96070,3.00076,1.01339,1253200,13.2193,3201520,1852250,19.5384,0,0,1479460,427089,72.4486,1228600,NA,NA,NA,66376,749742,1007630,94884,57.8554,39.1439,NA,"Belarus",79.0091,79.291,79.1299,"Belarus",NA,24961800,NA,NA,1343200000,310511000,NA,23.1173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","KHM","Cambodia",2018,82.694,82.694,1.02123,85.1,80.3,13458100,99,207,0.124549,0.00127193,24378,0.149792,166200,141615,0.870164,0,2311,141615,NA,NA,21394,13458100,NA,7984310,333,NA,NA,NA,85.2076,14.6679,NA,NA,NA,NA,NA,"Cambodia",48.6745,NA,4291,NA,770779000,101971000,179627,13.2296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","CMR","Cameroon",2018,16.4065,16.4065,1.59561,NA,NA,4069870,72.15,17987,4.54432,0.0725096,338216,1.36342,395813,39610,0.159677,NA,377826,5365,NA,NA,12622,4069870,NA,1048910,NA,NA,NA,NA,10.0073,85.4484,NA,"Cameroon",NA,NA,29.7,"Cameroon",7.1122,NA,6417,1740,1085180000,321493000,169111,29.6258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","CAN","Canada",2018,75.9431,69.2233,38.7334,99.5,99.3,28323000,99.5,45077,0.312046,0.120866,1980850,5.3113,14445600,12416400,33.2924,NA,788239,2073230,19890,93.6,4051360,25816800,2506040,NA,7512890,4234480,3797500,4384410,85.9527,13.7125,NA,"Canada",NA,NA,94.64,"Canada",NA,NA,NA,NA,4.0978e+10,9538380000,NA,23.2768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","CPV","Cabo Verde",2018,70.7846,64.9223,3.04958,91.07,NA,363419,99.34,NA,NA,NA,NA,NA,15657,15657,3.04958,NA,NA,455,NA,70.0929,15202,333321,30098,NA,NA,NA,NA,NA,100,NA,NA,"Cabo Verde",NA,NA,59.5,"Cabo Verde",12.5239,0,785,307,109760000,19834800,139821,18.0711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","CAF","Central African Rep.",2018,5.0887,NA,0.0124624,37.46,NA,248260,57.08,413,67.9276,0.00846544,60,0.00122985,608,0,0,NA,NA,NA,NA,4.1297,NA,NA,NA,NA,NA,NA,NA,NA,0,9.86842,NA,"Central African Rep.",NA,NA,5.1,"Central African Rep.",238.942,NA,524,89,77958900,25542000,148776,32.7634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","LKA","Sri Lanka",2018,62.0449,60.5694,6.93976,86,80,13806900,99,342465,22.1759,1.53895,859012,3.86019,1544310,342836,1.54062,NA,783012,70508,NA,41.8,533500,13478600,328356,2647600,54,533500,NA,68000,22.1999,55.6242,NA,"Sri Lanka",NA,NA,28.3,"Sri Lanka",4.82522,59662900000,11937,2956,930442000,381798000,77946,41.0341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","TCD","Chad",2018,3.78903,NA,0.00206728,42,12,612175,86,334,100,0.00206728,0,0,334,0,0,NA,NA,NA,NA,4.99173,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,"Chad",NA,NA,7,"Chad",105.024,0,949,212,244363000,20526100,257495,8.39982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","CHL","Chile",2018,91.3434,86.8782,17.2067,95,NA,17257700,99,27753,0.853705,0.146894,601585,3.18414,3250890,2621550,13.8756,NA,11225,702759,167789,88.7118,586272,16414100,737559,14145500,1782840,590259,955403,1075890,80.641,18.5053,NA,"Chile",NA,NA,84.9,"Chile",19.4045,NA,58159,20180,NA,1659220000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","CHN","China",2018,94.0254,93.5874,28.7089,99.4,99.4,1334230000,99.9,329000,0.0807596,0.0231852,5915000,0.41684,407382000,401138000,28.2689,NA,NA,368327000,32905000,65.1805,6150000,1328010000,6216000,1165460000,0,4715000,110016000,286404000,98.4673,1.45195,NA,"China",NA,NA,59.2,"China",5.96507,NA,1145800,446515,1.96927e+11,49517400000,171868,25.1451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","TWN","Taiwan, Province of China",2018,111.273,106.949,24.1978,100,99.9,26326300,100,171804,3.00093,0.726158,873425,3.69168,5725020,4679790,19.7799,243,0,3675310,2854,89,628821,25303400,1022980,26303000,1417790,1400880,1352450,1926460,81.7428,15.2563,NA,"Taiwan, Province of China",86.6,85.8,86.2058,"Taiwan, Province of China",3.96938,28722900000,52294,19859,10527400000,1710720000,201312,16.2501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","COL","Colombia",2018,52.9987,52.2034,13.6229,100,98,25982300,100,129290,1.9359,0.263725,2980410,6.07944,6678540,3568840,7.27972,9874,251758,867850,3815,52.6611,1653220,25592400,389878,16168600,3892020,3108650,210158,NA,53.4374,44.6267,NA,"Colombia",64.5888,63.6495,64.1264,"Colombia",NA,NA,NA,NA,7450670000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","COM","Comoros",2018,64.536,64.5104,0.198421,89.83,82.48,497953,90.85,1321,86.2835,0.171205,273,0.0353815,1531,30,0.00388808,NA,82,189,NA,NA,1111,497756,197,35937,NA,NA,NA,NA,1.9595,17.8315,NA,NA,NA,NA,NA,"Comoros",10.6589,NA,110,NA,17483900,46909600,158945,268.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","COD","Dem. Rep. of the Congo",2018,14.8366,14.7255,0.00513062,50,0,13360100,52,NA,NA,NA,NA,NA,4620,NA,NA,NA,NA,NA,NA,NA,NA,13260000,100068,NA,NA,NA,NA,NA,NA,NA,NA,"Dem. Rep. of the Congo",NA,NA,11.7,"Dem. Rep. of the Congo",NA,NA,1880,394,1316030000,NA,700018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","CRI","Costa Rica",2018,102.656,100.282,16.8377,97.31,86.54,5089510,97.31,197315,23.6367,3.97988,440366,8.88225,834784,197103,3.9756,NA,5488,19677,601,73.0802,275665,4971810,117698,NA,533353,NA,NA,15895,23.6113,52.7521,0,"Costa Rica",73.9544,72.9754,73.4797,"Costa Rica",15.3731,33679800000,11804,3258,1583790000,297705000,134174,18.797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","HRV","Croatia",2018,82.0488,75.1689,28.0156,99.4,98.5,3302360,100,18097,1.60493,0.44963,285090,7.08321,1127590,824404,20.4828,53,126777,63731,3976,81.5207,769906,3025450,276908,2015570,163148,492303,246722,85379,73.112,25.2678,NA,"Croatia",73.3323,77.3318,75.2946,"Croatia",5.62751,NA,7629,2908,1513890000,412111000,198439,27.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","CUB","Cuba",2018,14.4154,NA,0.880351,67,0,1618440,85.3,88466,89.5061,0.787967,9292,0.0827639,98838,1100,0.00979771,NA,NA,NA,NA,28.1532,74565,NA,NA,NA,24273,NA,NA,NA,1.11293,9.40124,NA,"Cuba",NA,NA,62.6789,"Cuba",13.0504,NA,18064,8092,NA,265900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","BEN","Benin",2018,18.3598,18.3598,0.218309,80,40,2273550,98,15496,57.3204,0.125136,5167,0.0417254,27034,6370,0.0514401,NA,19617,190,NA,NA,7227,2273550,NA,NA,NA,NA,NA,NA,23.5629,19.113,NA,"Benin",NA,NA,19,"Benin",13.7915,NA,669,345,443458000,176309000,662866,39.7577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","DNK","Denmark",2018,138.989,118.582,43.7691,100,100,8052800,100,10547,0.415907,0.182039,115337,1.99069,2535900,2382060,41.1138,91,21538,793514,25083,92.6641,863218,6870420,1182390,7385760,832460,654620,788624,938815,93.9333,4.54816,NA,"Denmark",97.2257,97.4119,97.3192,"Denmark",11.6463,NA,13066,NA,5335750000,1111710000,408369,20.8351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","DMA","Dominica",2018,67.7678,NA,16.8891,95,95,46200,100,NA,NA,NA,4461,6.54355,11514,4878,7.15522,NA,NA,NA,NA,71.8194,NA,NA,NA,NA,NA,NA,NA,NA,42.3658,38.7441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","DOM","Dominican Rep.",2018,62.8211,53.5184,7.98202,99.23,93.72,6773410,99.56,196283,22.807,1.82046,391037,3.62674,860626,273306,2.53482,0,68027,200104,4012,31.6208,419540,5770380,987502,NA,186348,197396,63804,12106,31.7567,45.4363,NA,"Dominican Rep.",75.0359,74.6039,74.822,"Dominican Rep.",7.10928,-240100000,9087,3169,1747730000,325024000,192333,18.5969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","ECU","Ecuador",2018,54.798,52.5382,11.4584,93.04,70.87,9342810,95.38,114839,5.87831,0.67356,1355050,7.94773,1953610,483716,2.83712,NA,167142,539849,NA,37.1742,835888,8957520,376193,7258790,410709,NA,NA,NA,24.7601,69.3615,NA,"Ecuador",NA,NA,57.5,"Ecuador",7.87221,NA,18583,6480,2676640000,NA,144037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","SLV","El Salvador",2018,56.2941,56.2941,7.91447,86,68,3501390,97,105767,21.4858,1.70049,381265,6.12985,492265,5178,0.0832502,150,NA,9211,NA,20.0256,315618,3501390,NA,NA,168692,NA,51,4,1.05187,77.4512,NA,"El Salvador",NA,NA,43.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","GNQ","Equatorial Guinea",2018,0.114203,NA,0.100221,60,NA,1846,70,435,26.8519,0.0269113,213,0.0131773,1620,NA,NA,NA,NA,NA,NA,21.3808,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","EST","Estonia",2018,146.821,87.2898,33.3725,100,99,1940930,100,35139,7.9649,2.65809,30500,2.30717,441173,375534,28.4073,NA,30309,161877,3643,90.4998,127649,1153940,786987,1133760,98251,165276,144146,66112,85.1217,6.91339,NA,"Estonia",89.2502,89.4714,89.357,"Estonia",10.09,NA,3488,NA,546367000,105105000,156642,19.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","FRO","Faroe Islands",2018,94.2744,88.4312,35.6253,100,99.99,48112,100,124,0.682031,0.242975,2094,4.10315,18181,15963,31.2791,NA,137,77,NA,NA,17967,45130,2982,NA,NA,7908,6967,1088,87.8005,11.5175,0,NA,NA,NA,NA,"Faroe Islands",12.0433,NA,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","FJI","Fiji",2018,67.3762,90.2725,2.08214,94,75,617961,98,201,1.05252,0.021915,3441,0.375172,19097,8963,0.977235,82,6753,146,NA,NA,8721,827961,147961,362961,NA,3787,227,59,46.9341,18.0185,0,"Fiji",NA,NA,58.2364,"Fiji",16.7561,0,943,327,207553000,34871900,220098,16.8015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","FIN","Finland",2018,154.648,114.219,31.4917,99.9,99.9,8530000,99.99,NA,NA,NA,117000,2.1212,1737000,1620000,29.3705,NA,3000,888000,7000,88.9477,405000,6300000,2230000,NA,434000,725000,268000,627000,93.2642,6.73575,NA,"Finland",87.6452,90.181,88.89,"Finland",NA,NA,NA,NA,3531050000,617639000,NA,17.4916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","FRA","France",2018,90.6279,NA,44.4142,99,99,59379000,99,8500,0.0292096,0.0129732,580000,0.885232,29100000,27224000,41.551,NA,NA,4800000,455000,82.3789,19562000,NA,3062000,47750000,4284000,18260000,2879000,6085000,93.5533,1.99313,NA,"France",80.414,83.8181,82.0432,"France",2.85734,NA,108956,NA,36718200000,11554500000,337001,31.4679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","PYF","French Polynesia",2018,65.1684,37.1192,21.3677,88.5,88.5,182351,98,11161,18.667,3.98871,47042,16.8118,59790,3142,1.12288,0,4217,3142,10234,NA,41368,103865,11960,89226,0,3041,226,0,5.25506,78.6787,NA,NA,NA,NA,NA,"French Polynesia",10.1464,0,916,360,134767000,122496000,147126,90.8946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
