"","entity","above","basic","5G","fixed","home_internet","internet_use","mobile","employees","foreign_investments","investments","revenue","price_big","price_small","gov_policies"
"100","Mozambique",NA,NA,8.33333333333333,0.162929,10.6876,19.31735,27.0393666666667,145.816333333333,13571800000,159481000,650219000,"4.07","2.75",1
"101","Myanmar",NA,NA,0,2.58830333333333,53.91545,58.27345,103.2518,28.0231666666667,NA,NA,NA,"4.73","1.5",4
"102","Namibia",NA,NA,0,3.21553666666667,73.20885,62.7773,59.6651333333333,10.5903666666667,NA,54028866.6666667,205392666.666667,"9.7","3.73",1
"103","Netherlands",NA,NA,99,43.2689666666667,96.2621,94.76325,124.697666666667,NA,NA,4092980000,10833400000,"26.3","18.41",2
"104","New Zealand",NA,NA,27.04,37.4019666666667,96.20285,96.179,105.141466666667,17.8113666666667,NA,965294000,3408526666.66667,"25.55","11.92",4
"105","Nicaragua",NA,NA,0,5.40479,47.0983,53.68105,69.0267333333333,NA,126326200,4077563.33333333,554160000,"8.74","8.74",3
"106","Niger",NA,NA,NA,0.107619,50.8086,23.24305,34.5873,NA,NA,74424100,393542000,"10.26","5.45",1
"107","Nigeria",NA,NA,12.54,0.0578010333333333,39.62565,38.45555,41.1627333333333,163.313666666667,330417000,1844620000,9052150000,"2.17","1.73",4
"108","North Macedonia",NA,NA,81.62,29.0243333333333,82.50975,86.09495,84.2230666666667,NA,NA,66215766.6666667,340763000,"14.99","10.22",3
"109","Norway",NA,NA,82.45,45.5511,99,99,115.7825,NA,NA,1692180000,3905370000,"34.32","34.32",3
"110","Oman",59.7896,27.670875,88.6666666666667,10.9424666666667,97.37275,95.2495666666667,108.197333333333,8.71431,NA,621665000,2220156666.66667,"13","9.36",2
"111","Pakistan",NA,NA,0,1.36851,36.7792,25.7931,52.1928666666667,15.5596666666667,16691100000,886584333.333333,3486533333.33333,"2.54","1.71",5
"112","Panama",NA,NA,0,17.2601,85.19825,73.1263,103.1605,8.22918,NA,300547500,1105435000,"21.4","21.4",4
"113","Paraguay",NA,NA,0,12.0182,56.6752,78.6440333333333,73.05865,28.36475,NA,167212500,869716000,"7.58","8.53",2
"114","Peru",NA,NA,14.2333333333333,10.5218466666667,55.3410666666667,78.7056333333333,89.2585666666667,9.11004333333333,NA,997261000,4516330000,"7.56","7.56",3
"115","Philippines",NA,NA,68.51,7.10590333333333,78.8709,79.4886,74.6293666666667,5.90501,NA,NA,2422835138.21667,"8.9","6.04",4
"116","Poland",52.3636625,15.0243416666667,74.3333333333333,24.5749333333333,94.1735,87.3136,215.092666666667,NA,NA,2509296666.66667,10093376666.6667,"7.5","7.5",3
"117","Portugal",54.293,15.57732625,95.6,44.0972,89.2516333333333,86.258,99.0612,1.40415,NA,822576333.333333,4212123333.33333,"8.42","8.42",5
"118","Puerto Rico",NA,NA,NA,24.4770333333333,83.0724,87.2918,103.783333333333,9.60287666666667,NA,NA,NA,"16.73","16.73",NA
"119","Qatar",NA,NA,98.7166666666667,12.0333333333333,98.44895,99.6528,155.869,3.36090333333333,NA,338919333.333333,3109793333.33333,"17.86","13.74",6
"120","Romania",33.32886,22.8882,22.6233333333333,34.5606,91.9958666666667,88.6656666666667,98.1222333333333,21.6245,NA,592213500,2814135000,"6.26","6.26",5
"121","Russian Federation",43.630872,18.05627,NA,25.8639666666667,88.3060333333333,92.3426666666667,118.869333333333,12.601,NA,4702815000,24714200000,"8.44","5.29",4
"122","Rwanda",NA,NA,0,0.463718666666667,36.26245,32.71285,66.2466333333333,229.994666666667,NA,59624866.6666667,302926333.333333,"2.86","2.14",4
"123","Saint Vincent and the Grenadines",NA,NA,0,29.6502666666667,76.44215,73.85765,63.9007333333333,NA,NA,NA,43879333.3333333,"44.41","44.41",0
"124","Sao Tome and Principe",NA,NA,0,2.50670666666667,57.0317,61.5071,42.4622333333333,46.9299,NA,2978340,14335200,"17.5","7.68",1
"125","Saudi Arabia",84.22322,9.605182,68.5,43.1556,100,100,164.356666666667,NA,NA,3876880000,20564750000,"21.27","12.53",5
"126","Senegal",NA,NA,NA,1.68879,59.8209,59.9184,102.0202,11.05055,NA,227152000,1049635000,"7.22","3.53",3
"127","Serbia",NA,NA,0,31.33,85.8802666666667,85.5288333333333,111.701,6.01906333333333,NA,880408333.333333,2495526666.66667,"15.24","4.49",2
"128","Seychelles",NA,NA,NA,30.7334,69.79775,87.2181,82.4474333333333,25.8593333333333,NA,23909250,105165500,"20.27","20.27",4
"129","Singapore",77.63756,8.34415,95.3333333333333,27.5997,98.5537333333333,94.8722333333333,172.329333333333,NA,NA,660493000,NA,"11.12","11.12",4
"130","Slovakia",50.67846,22.39878,66.8666666666667,33.6616666666667,90.5973333333333,88.7019666666667,94.3964333333333,14.7776,NA,388634500,1851535000,"22.65","15.58",4
"131","Slovenia",54.60264,19.64566,77.1,32.7084333333333,93.4821666666667,90.018,99.0359666666667,9.73009666666667,NA,316241666.666667,858062000,"10.51","5.25",4
"132","South Africa",NA,NA,38.65,3.95884666666667,76.94425,75.5574,130.282,25.1802666666667,7138753333.33333,1813396666.66667,9170903333.33333,"18.76","5.62",4
"133","South Sudan",NA,NA,0,0.00177817,NA,NA,6.761015,NA,NA,NA,NA,"7.55","2.06",0
"134","Spain",69.99066,14.909954,85.85,37.4110666666667,96.4543333333333,95.2295333333333,112.862333333333,2.24675,NA,5591500000,18096866666.6667,"11.57","11.57",4
"135","Sri Lanka",NA,NA,0,8.95660666666667,71.84795,49.75,77.5881666666667,5.31303666666667,7697800000,318540500,726634000,"2.41","1.57",2
"136","State of Palestine",29.294188,15.927414,0,8.15365,92.8782,87.6423,21.7092,5.791585,1801544,NA,NA,"27.75","16.34",1
"137","Suriname",NA,NA,15.86,18.7719333333333,83.49425,78.0226,123.543,8.02805333333333,1871250000,13005173.3333333,105664500,"22.36","22.35",0
"138","Sweden",81.95782,8.134406,81.75,40.653,92.4781,95.4141,133.15,20.3652666666667,NA,1378266666.66667,4879466666.66667,"19.57","13.95",3
"139","Switzerland",72.56318,16.587176,100,46.8437,97.4333,96.8986,109.3,7.888555,NA,2990260000,14373500000,"44.39","33.26",3
"140","Syrian Arab Republic",NA,NA,NA,7.01204,NA,NA,26.3634,6.67328,NA,NA,NA,"2.86","2.19",2
"141","Taiwan, Province of China",23.5149925,31.5821,96.5533333333333,29.3685,90.5333333333333,92.0398,121.555,3.64248,26423766666.6667,1981680000,9454163333.33333,"18.52","10.48",NA
"142","Tanzania",NA,NA,6.66666666666667,0.154074666666667,NA,25.5824,32.8537333333333,46.0368,22546300000,NA,NA,"6.43","4.74",3
"143","Thailand",NA,NA,89.8,15.6361666666667,91.5651666666667,89.4599,111.689333333333,NA,NA,NA,11426150000,"6.71","6.81",5
"144","Timor-Leste",NA,NA,NA,0.00726050666666667,NA,34.26545,28.9501666666667,NA,NA,NA,100825166.666667,"5","4",NA
"145","Togo",NA,NA,NA,1.22692666666667,45.4863,36.2664,41.7667666666667,18.9222666666667,NA,94820966.6666667,396180333.333333,"14.43","8.02",3
"146","Trinidad and Tobago",NA,NA,NA,26.6522666666667,84.6021,84.59755,56.235,8.14180666666667,NA,64069200,769236666.666667,"44.43","25.92",3
"147","Tunisia",NA,NA,0,14.3293666666667,62.0683,71.4537,89.6048666666667,5.20695,1.95e+08,210352333.333333,1232320000,"5.31","2.13",4
"148","Türkiye",41.570464,14.8553266666667,NA,22.5713,95.3775,85.5686,84.5079666666667,2.86741,NA,2318093333.33333,9918040000,"6.35","6.35",2
"149","Uganda",NA,NA,7.45,0.1279983,50.324,11.77561,42.3002,12.7235,NA,614660000,1516270000,"7.12","3.53",NA
"150","Ukraine",NA,NA,NA,20.1903666666667,82.0446,82.5254,84.2957666666667,28.14005,NA,510178333.333333,2653893333.33333,"5.99","5.99",4
"151","United Arab Emirates",NA,NA,98.47,38.2618333333333,100,100,211.133,2.39304,961918333.333333,1416356666.66667,8658836666.66667,"35.06","15.72",5
"152","United Kingdom",NA,NA,76,41.6294333333333,96.39265,96.29885,128.490333333333,NA,NA,11046045000,41981466666.6667,"12.59","12.59",5
"153","United States",NA,NA,96.3333333333333,38.1466333333333,95.5781,92.673,185.025333333333,7.46732,NA,1.07255e+11,6.68418e+11,"48.96","48.95",4
"154","Uruguay",64.98649,13.007685,18.8,32.9779333333333,92.1001,90.5867,113.529333333333,5.71553333333333,NA,NA,1223340000,"20.25","14.03",6
"155","Uzbekistan",NA,NA,16,30.2690666666667,95.84,86.4568,107.219,5.42379,5.33559e+12,653371333.333333,1483706666.66667,"2.32","2.32",6
"156","Vanuatu",NA,NA,0,1.17181,61.66975,45.703,398.629333333333,NA,NA,NA,48298233.3333333,"24.96","20.8",1
"157","Venezuela",NA,NA,0,10.67572,NA,NA,60.6660333333333,9.45928333333333,0,NA,NA,"6.24","1.8",2
"158","Viet Nam",20.18,47.32,8.5,22.5867,88.55,80.2733333333333,98.5082,32.9815333333333,2.16e+08,912844000,5843596666.66667,"3.83","4.07",3
"159","Zambia",NA,NA,2.5,0.633379333333333,54.553,15,59.0667666666667,28.1329666666667,NA,147268333.333333,640923333.333333,"4.24","2.68",3
"160","Zimbabwe",NA,NA,7.06666666666667,1.71157666666667,57.7434,38.15635,66.3078666666667,17.6612666666667,NA,NA,NA,"18.1","6.31",2
"161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","30",NA
"163","Anguilla",NA,NA,NA,35.8745,NA,NA,NA,NA,NA,NA,NA,"52","55",NA
"164","Antigua and Barbuda",NA,NA,NA,10.6818,85.19745,77.3702,51.5646,NA,NA,NA,NA,"42.59","42.59",NA
"165","Aruba",NA,NA,NA,17.4862,NA,NA,NA,NA,NA,NA,NA,"33.52","33.52",NA
"166","Ascension",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Barbados",NA,NA,NA,37.4843,81.0616,79.7187,63.46205,NA,NA,NA,NA,"52.5","52.5",NA
"168","Belize",NA,NA,NA,9.75386,71.6814333333333,72.08455,44.07065,NA,NA,NA,NA,"18","13.5",0
"169","Burkina Faso",NA,NA,0,0.0669065,19.8926,15.8232,78.8708,NA,NA,NA,NA,"12.39","0.16",3
"170","Cayman Islands",NA,NA,NA,56.3604,NA,NA,NA,NA,NA,NA,NA,"83.88","83.88",NA
"171","Central African Rep.",NA,NA,NA,0.0160846,NA,NA,5.389525,NA,NA,NA,NA,"25.02","8.02",0
"172","Congo (Rep. of the)",NA,NA,0,0.8519315,41.3754,37.9365,55.6994,NA,NA,NA,NA,"14.7","11.59",3
"173","Cook Islands",NA,NA,NA,21.0487,NA,NA,NA,NA,NA,NA,NA,"27.82","16.47",NA
"174","Dem. People's Rep. of Korea",NA,NA,NA,NA,NA,NA,21.0035,NA,NA,NA,NA,NA,NA,NA
"175","Dominica",NA,NA,0,20.8601,79.1316,83.5678,80.57475,NA,NA,NA,NA,"40.74","40.74",NA
"176","El Salvador",NA,NA,NA,11.2765433333333,33.6847,66.5928,74.1118,NA,NA,NA,NA,"12","12",NA
"177","Equatorial Guinea",NA,NA,0,0.100691,59.35995,59.8547,0.918774,NA,NA,NA,NA,NA,NA,1
"178","Eritrea",NA,NA,NA,0.165393,NA,19.3598,30.33765,NA,NA,NA,NA,NA,NA,NA
"179","Falkland (Malvinas) Is.",NA,NA,NA,30.1146,NA,NA,NA,NA,NA,NA,NA,"62.96","37.78",NA
"180","Faroe Islands",NA,NA,NA,34.5874,NA,NA,103.1115,NA,NA,NA,NA,"22.14","22.14",NA
"181","Fiji",NA,NA,0,2.05444666666667,80.81935,78.7959,123.324933333333,NA,NA,NA,NA,"40.16","29.5",NA
"182","French Guiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30.51","25.25",NA
"183","French Polynesia",NA,NA,NA,31.73395,NA,NA,100.12995,NA,NA,NA,NA,"16.45","10.58",NA
"184","Gibraltar",NA,NA,100,60.9748,NA,NA,100.13965,NA,NA,NA,NA,"37.78","25.18",NA
"185","Greenland",NA,NA,NA,31.9843,NA,NA,3.181095,NA,NA,NA,NA,"50.63","35.11",NA
"186","Grenada",NA,NA,0,29.7674,82.9658,74.1945,58.39255,NA,NA,NA,NA,"44.41","44.41",1
"187","Guam",NA,NA,NA,1.83921,NA,NA,NA,NA,NA,NA,NA,"35","18",NA
"188","Guatemala",NA,NA,31.5,5.14771333333333,32.88755,55.73105,17.0106,NA,NA,NA,NA,"14.91","14.91",3
"189","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Guinea",NA,NA,NA,0.00627529,34.8071,25.5984,23.0917,NA,NA,NA,NA,"13.86","5.21",0
